,Airport,Type,City,Country,IATA,ICAO,FAA
84,N'zeto,Small airport,N'zeto,Angola,ARZ,FNZE,
85,Assab International,Medium airport,Asab,Eritrea,ASA,HHSB,
86,Ashgabat,Medium airport,Ashgabat,Turkmenistan,ASB,UTAA,
87,Ascención De Guarayos,Small airport,Ascensión de Guarayos,Bolivia,ASC,SLAS,
88,Andros Town,Medium airport,,Bahamas,ASD,MYAF,
89,Aspen-Pitkin Co/Sardy Field,Medium airport,Aspen,United States,ASE,KASE,ASE
90,Astrakhan,Medium airport,Astrakhan,Russia,ASF,URWA,
91,Ashburton Aerodrome,Small airport,,New Zealand,ASG,NZAS,
92,Boire Field,Small airport,Nashua,United States,ASH,KASH,ASH
93,RAF Ascension Island,Medium airport,Ascension Island,Saint Helena,ASI,FHAW,
94,Amami,Medium airport,Amami,Japan,ASJ,RJKA,
95,Yamoussoukro,Medium airport,Yamoussoukro,Côte d'Ivoire,ASK,DIYO,
96,Harrison County,Small airport,Marshall,United States,ASL,KASL,ASL
97,Asmara International,Medium airport,Asmara,Eritrea,ASM,HHAS,
98,Talladega Municipal,Small airport,Talladega,United States,ASN,KASN,ASN
99,Asosa,Medium airport,Asosa,Ethiopia,ASO,HASO,
0,Alice Springs,Medium airport,Alice Springs,Australia,ASP,YBAS,
1,Austin,Small airport,Austin,United States,ASQ,KTMT,TMT
2,Kayseri Erkilet,Medium airport,Kayseri,Turkey,ASR,LTAU,
3,Astoria Regional,Medium airport,Astoria,United States,AST,KAST,AST
4,Silvio Pettirossi International,Medium airport,Asunción,Paraguay,ASU,SGAS,
5,Amboseli,Medium airport,Amboseli National Park,Kenya,ASV,HKAM,
6,Aswan International,Medium airport,Aswan,Egypt,ASW,HESN,
7,John F Kennedy Memorial,Small airport,Ashland,United States,ASX,KASX,ASX
8,Ashley Municipal,Small airport,Ashley,United States,ASY,KASY,ASY
9,Asirim,Small airport,,Papua New Guinea,ASZ,,
10,Comandante FAP German Arias Graziani,Medium airport,Anta,Perú,ATA,SPHZ,
11,Atbara,Small airport,Atbara,Sudan,ATB,HSAT,
12,Arthur's Town,Medium airport,Arthur's Town,Bahamas,ATC,MYCA,
13,Uru Harbour,Small airport,Atoifi,Solomon Islands,ATD,AGAT,
14,Antlers Municipal,Small airport,Antlers,United States,ATE,80F,80F
15,Chachoán,Medium airport,Ambato,Ecuador,ATF,SEAM,
16,Eleftherios Venizelos International,Large airport,Athens,Greece,ATH,LGAV,
17,Artigas International,Small airport,Artigas,Uruguay,ATI,SUAG,
18,Antsirabe,Small airport,Antsirabe,Madagascar,ATJ,FMME,
19,Atqasuk Edward Burnell Sr Memorial,Medium airport,Atqasuk,United States,ATK,PATQ,ATK
20,Hartsfield Jackson Atlanta International,Large airport,Atlanta,United States,ATL,KATL,ATL
21,Altamira,Medium airport,Altamira,Brazil,ATM,SBHT,
22,Namatanai,Small airport,Namatanai,Papua New Guinea,ATN,AYNX,
23,Ohio University Snyder Field,Small airport,Athens/Albany,United States,ATO,KUNI,UNI
24,Aitape,Small airport,Aitape,Papua New Guinea,ATP,AYAI,
25,Sri Guru Ram Dass Jee International,Large airport,Amritsar,India,ATQ,VIAR,
26,Atar International,Medium airport,Atar,Mauritania,ATR,GQPA,
27,Artesia Municipal,Small airport,Artesia,United States,ATS,KATS,ATS
28,Atmautluak,Small airport,Atmautluak,United States,ATT,,4A2
29,Casco Cove Coast Guard Station,Small airport,Attu,United States,ATU,PAAT,ATU
30,Ati,Small airport,Ati,Chad,ATV,FTTI,
31,Appleton International,Small airport,Appleton,United States,ATW,KATW,ATW
32,Atbasar,Small airport,Atbasar,Kazakhstan,ATX,,
33,Watertown Regional,Medium airport,Watertown,United States,ATY,KATY,ATY
34,Assiut International,Medium airport,Assiut,Egypt,ATZ,HEAT,
35,Queen Beatrix International,Medium airport,Oranjestad,Aruba,AUA,TNCA,
36,ItaubaClosed,Closed,Itauba,Brazil,AUB,,
37,Santiago Perez,Medium airport,Arauca,Colombia,AUC,SKUC,
38,Augustus Downs,Small airport,,Australia,AUD,YAGD,
39,Abu Rudeis,Small airport,Abu Rudeis,Egypt,AUE,,
40,Auxerre-Branches,Medium airport,Auxerre/Branches,France,AUF,LFLA,
41,Augusta State,Medium airport,Augusta,United States,AUG,KAUG,AUG
42,Abu Dhabi International,Large airport,Abu Dhabi,United Arab Emirates,AUH,OMAA,
43,Aua Island,Small airport,Aua Island,Papua New Guinea,AUI,AYND,
44,Ambunti,Small airport,Ambunti,Papua New Guinea,AUJ,AYAT,
45,Alakanuk,Small airport,Alakanuk,United States,AUK,PAUK,AUK
46,Aur Island,Small airport,Aur Atoll,Marshall Islands,AUL,,
47,Austin Municipal,Small airport,Austin,United States,AUM,KAUM,AUM
48,Auburn Municipal,Small airport,Auburn,United States,AUN,KAUN,AUN
49,Auburn Opelika Robert G. Pitts,Small airport,Auburn,United States,AUO,KAUO,AUO
50,Agaun,Small airport,,Papua New Guinea,AUP,AYAG,
51,Hiva Oa-Atuona,Medium airport,Hiva Oa Island,French Polynesia,AUQ,NTMN,
52,Aurillac,Medium airport,Aurillac,France,AUR,LFLW,
53,Austin Bergstrom International,Large airport,Austin,United States,AUS,KAUS,AUS
54,Atauro,Small airport,Atauro,Timor-Leste,AUT,WPAT,
55,Aurukun,Small airport,Aurukun,Australia,AUU,YAUR,
56,Aumo,Small airport,Aumo,Papua New Guinea,AUV,AYUM,
57,Wausau Downtown,Medium airport,Wausau,United States,AUW,KAUW,AUW
58,Araguaína,Small airport,Araguaína,Brazil,AUX,SWGN,
59,Aneityum,Small airport,Anatom Island,Vanuatu,AUY,NVVA,
60,Aurora Municipal,Small airport,Chicago/Aurora,United States,AUZ,KARR,ARR
61,Anshun Huangguoshu,Medium airport,Anshun,China,AVA,ZUAS,
62,Aviano Air Base,Medium airport,Aviano (PN),Italy,AVB,LIPA,
63,AvoriazClosed,Closed,Avoriaz,France,AVF,,
64,Auvergne,Small airport,,Australia,AVG,YAUV,
65,Maximo Gomez,Medium airport,Ciego de Avila,Cuba,AVI,MUCA,
66,Arvaikheer,Medium airport,Arvaikheer,Mongolia,AVK,ZMAH,
67,Asheville Regional,Large airport,Asheville,United States,AVL,KAVL,AVL
68,Avignon-Caumont,Medium airport,Avignon/Caumont,France,AVN,LFMV,
69,Avon Park Executive,Small airport,Avon Park,United States,AVO,KAVO,AVO
70,Wilkes Barre Scranton International,Medium airport,Wilkes-Barre/Scranton,United States,AVP,KAVP,AVP
71,Alverca,Medium airport,Vila Franca de Xira,Portugal,AVR,LPAR,
72,Avu Avu,Small airport,,Solomon Islands,AVU,AGGJ,
73,Avalon,Medium airport,Melbourne,Australia,AVV,YMAV,
74,Marana Regional,Small airport,Tucson,United States,AVW,KAVQ,AVQ
75,Awassa,Small airport,Awassa,Ethiopia,AWA,HALA,
76,Aniwa,Small airport,Aniwa,Vanuatu,AWD,NVVB,
77,Alowe,Small airport,Wonga Wongué Presidential Reserve,Gabon,AWE,FOGW,
78,AwarehClosed,Closed,Awareh,Ethiopia,AWH,,
79,Wake Island Airfield,Medium airport,Wake Island,United States Minor Outlying Islands,AWK,PWAK,AWK
80,West Memphis Municipal,Small airport,West Memphis,United States,AWM,KAWM,AWM
81,Alton Downs,Small airport,,Australia,AWN,YADS,
82,Austral Downs,Small airport,,Australia,AWP,YAUS,
83,AwarClosed,Closed,Awar,Papua New Guinea,AWR,,
84,Ahwaz,Medium airport,Ahwaz,Iran,AWZ,OIAW,
85,Wallblake,Medium airport,The Valley,Anguilla,AXA,TQPF,
86,Maxson Airfield,Small airport,Alexandria Bay,United States,AXB,89NY,89NY
87,Aramac,Small airport,,Australia,AXC,YAMC,
88,Dimokritos,Medium airport,Alexandroupolis,Greece,AXD,LGAL,
89,Xanxerê,Small airport,Xanxerê,Brazil,AXE,SSXX,
90,Algona Municipal,Small airport,Algona,United States,AXG,KAXA,AXA
91,Amakusa,Small airport,,Japan,AXJ,RJDA,
92,Ataq,Medium airport,,Yemen,AXK,OYAT,
93,Alexandria Homestead,Small airport,,Australia,AXL,YALX,
94,El Eden,Medium airport,Armenia,Colombia,AXM,SKAR,
95,Chandler Field,Medium airport,Alexandria,United States,AXN,KAXN,AXN
96,Spring Point,Medium airport,Spring Point,Bahamas,AXP,MYAP,
97,Arutua,Medium airport,,French Polynesia,AXR,NTGU,
98,Altus Quartz Mountain Regional,Small airport,Altus,United States,AXS,KAXS,AXS
99,Akita,Medium airport,Akita,Japan,AXT,RJSK,
0,Axum,Medium airport,,Ethiopia,AXU,HAAX,
1,Neil Armstrong,Small airport,Wapakoneta,United States,AXV,KAXV,AXV
2,Angel Fire,Small airport,Angel Fire,United States,AXX,KAXX,AXX
3,Ayapel,Small airport,Ayapel,Colombia,AYA,,
4,Ayacucho,Small airport,Ayacucho,Colombia,AYC,,
5,Alroy Downs,Small airport,Alroy Downs,Australia,AYD,,
6,Ft Devens Moore Army Air FieldClosed,Closed,,United States,AYE,KAYE,
7,Yaguara,Small airport,San Vicente Del Caguán,Colombia,AYG,SKYA,
8,RAF AlconburyClosed,Closed,Huntingdon,United Kingdom,AYH,EGWZ,
9,Yari,Small airport,Yari,Colombia,AYI,,
10,Arkalyk North,Small airport,Arkalyk,Kazakhstan,AYK,UAUR,
11,Anthony Lagoon,Small airport,,Australia,AYL,YANL,
12,Anyang,Small airport,Anyang,China,AYN,ZHAY,
13,Juan De Ayolas,Medium airport,Ayolas,Paraguay,AYO,SGAY,
14,Coronel FAP Alfredo Mendivil Duarte,Medium airport,Ayacucho,Perú,AYP,SPHO,
15,Ayers Rock Connellan,Medium airport,Ayers Rock,Australia,AYQ,YAYE,
16,Ayr,Small airport,,Australia,AYR,YAYR,
17,Waycross Ware County,Small airport,Waycross,United States,AYS,KAYS,AYS
18,Antalya International,Large airport,Antalya,Turkey,AYT,LTAI,
19,Aiyura,Small airport,Aiyura Valley,Papua New Guinea,AYU,AYAY,
20,Ayawasi,Small airport,Ayawasi-Papua Island,Indonesia,AYW,WASA,
21,Arugam Bay SPB,Seaplane base,Pottuvil,Sri Lanka,AYY,,
22,Zahn'sClosed,Closed,Amityville,United States,AYZ,,
23,Phoenix-Mesa-Gateway,Medium airport,Phoenix,United States,AZA,KIWA,IWA
24,Amazon Bay,Small airport,,Papua New Guinea,AZB,,
25,Shahid Sadooghi,Medium airport,Yazd,Iran,AZD,OIYY,
26,Pablo L. Sidar,Small airport,Apatzingán,Mexico,AZG,MMAG,
27,Bateen,Medium airport,,United Arab Emirates,AZI,OMAD,
28,Fazenda Tucunaré,Small airport,Sapezal,Brazil,AZL,SWTU,
29,Andizhan,Small airport,Andizhan,Uzbekistan,AZN,UTKA,
30,Kalamazoo Battle Creek International,Medium airport,Kalamazoo,United States,AZO,KAZO,AZO
31,Atizapan De Zaragoza,Small airport,,Mexico,AZP,MMJC,
32,Touat Cheikh Sidi Mohamed Belkebir,Medium airport,,Algeria,AZR,DAUA,
33,Samaná El Catey International,Medium airport,Samana,Dominican Republic,AZS,MDCY,
34,Zapatoca,Small airport,Zapatoca,Colombia,AZT,,
35,Ambriz,Small airport,Ambriz,Angola,AZZ,FNAM,
0,Bialla,Small airport,"Bialla, Matalilu, Ewase",Papua New Guinea,BAA,AYBL,
1,Beale Air Force Base,Large airport,Marysville,United States,BAB,KBAB,BAB
2,Barranca De Upia,Small airport,Barranca De Upia,Colombia,BAC,,
3,Barksdale Air Force Base,Large airport,Bossier City,United States,BAD,KBAD,BAD
4,Barcelonnette - Saint-Pons,Small airport,Le Castellet,France,BAE,LFMR,
5,Westfield-Barnes Regional,Medium airport,Westfield/Springfield,United States,BAF,KBAF,BAF
6,Loakan,Medium airport,Baguio City,Philippines,BAG,RPUB,
7,Bahrain International,Large airport,Manama,Bahrain,BAH,OBBI,
8,Buenos Aires,Medium airport,Punta Arenas,Costa Rica,BAI,MRBA,
9,Bali,Small airport,Unea Island,Papua New Guinea,BAJ,,
10,Batman,Medium airport,Batman,Turkey,BAL,LTCJ,
11,Battle Mountain,Small airport,Battle Mountain,United States,BAM,KBAM,BAM
12,Basongo,Small airport,Basongo,Congo (Kinshasa),BAN,FZVR,
13,BaibaraClosed,Closed,Nabai,Papua New Guinea,BAP,,
14,Ernesto Cortissoz International,Medium airport,Barranquilla,Colombia,BAQ,SKBQ,
15,Ballalae,Small airport,Ballalae,Solomon Islands,BAS,AGGE,
16,Chafei Amsei,Medium airport,Barretos,Brazil,BAT,SNBA,
17,Bauru,Medium airport,Bauru,Brazil,BAU,SBBU,
18,Baotou,Medium airport,Baotou,China,BAV,ZBOW,
19,BiawonqueClosed,Closed,Biawonque,Gabon,BAW,,
20,Barnaul,Medium airport,Barnaul,Russia,BAX,UNBB,
21,Tautii Magheraus,Medium airport,Baia Mare,Romania,BAY,LRBM,
22,Barcelos,Small airport,Barcelos,Brazil,BAZ,SWBC,
23,Balmaceda,Medium airport,Balmaceda,Chile,BBA,SCBA,
24,Benson Municipal,Small airport,Benson,United States,BBB,KBBB,BBB
25,Bay City Municipal,Small airport,Bay City,United States,BBC,KBYY,BYY
26,Curtis Field,Medium airport,Brady,United States,BBD,KBBD,BBD
27,Big Bell,Small airport,Big Bell,Australia,BBE,YBBE,
28,BurlingtonClosed,Closed,Burlington,United States,BBF,,
29,Butaritari Atoll,Small airport,Butaritari Atoll,Kiribati,BBG,NGTU,
30,Barth,Small airport,,Germany,BBH,EDBH,
31,Biju Patnaik,Medium airport,Bhubaneswar,India,BBI,VEBS,
32,Bitburg,Small airport,Bitburg,Germany,BBJ,EDRB,
33,Kasane,Medium airport,Kasane,Botswana,BBK,FBKE,
34,Ballera,Small airport,,Australia,BBL,YLLE,
35,Battambang,Medium airport,Battambang,Cambodia,BBM,VDBG,
36,Bario,Medium airport,Bario,Malaysia,BBN,WBGZ,
37,Berbera,Medium airport,Berbera,Somalia,BBO,HCMI,
38,Bembridge,Small airport,Bembridge,United Kingdom,BBP,EGHJ,
39,Codrington,Small airport,Codrington,Antigua and Barbuda,BBQ,TAPH,
40,Baillif,Small airport,Basse Terre,Guadeloupe,BBR,TFFB,
41,Blackbushe,Medium airport,Yateley,United Kingdom,BBS,EGLK,
42,Berbérati,Medium airport,Berbérati,Central African Republic,BBT,FEFT,
43,Băneasa International,Medium airport,Bucharest,Romania,BBU,LRBS,
44,Nero-Mer,Small airport,Grand-Béréby,Côte d'Ivoire,BBV,DIGN,
45,Broken Bow Municipal,Small airport,Broken Bow,United States,BBW,KBBW,BBW
46,Wings Field,Small airport,Philadelphia,United States,BBX,KLOM,LOM
47,Bambari,Small airport,Bambari,Central African Republic,BBY,FEFM,
48,Zambezi,Small airport,Zambezi,Zambia,BBZ,FLZB,
49,Gustavo Rizo,Medium airport,Baracoa,Cuba,BCA,MUBA,
50,Virginia Tech Montgomery Executive,Small airport,Blacksburg,United States,BCB,KBCB,BCB
51,Bear Creek 3,Small airport,Bear Creek,United States,BCC,Z48,Z48
52,Bacolod-Silay City International,Medium airport,Bacolod City,Philippines,BCD,RPVB,
53,Bryce Canyon,Medium airport,Bryce Canyon,United States,BCE,KBCE,BCE
54,Bouca,Small airport,Bouca,Central African Republic,BCF,FEGU,
55,Bemichi,Small airport,Bemichi,Guyana,BCG,SYBE,
56,Cakung,Medium airport,Baucau,Timor-Leste,BCH,WPEC,
57,Barcaldine,Medium airport,Barcaldine,Australia,BCI,YBAR,
58,Baca Grande AirfieldClosed,Closed,Crestone,United States,BCJ,,
59,[Duplicate] Bolwarra,Small airport,Bolwarra,Australia,BCK,YBWR,
60,Barra del Colorado,Medium airport,Pococi,Costa Rica,BCL,MRBC,
61,Bacău,Medium airport,Bacău,Romania,BCM,LRBC,
62,Barcelona International,Large airport,Barcelona,Spain,BCN,LEBL,
63,Baco,Small airport,Baco,Ethiopia,BCO,HABC,
64,Bambu,Small airport,Bambu,Papua New Guinea,BCP,AYBC,
65,Brak,Medium airport,Brak,Libya,BCQ,,
66,Novo Campo,Small airport,Boca do Acre,Brazil,BCR,SWNK,
67,Southern Seaplane,Small airport,Belle Chasse,United States,BCS,65LA,65LA
68,Boca Raton,Small airport,Boca Raton,United States,BCT,KBCT,BCT
69,Sir Abubakar Tafawa Balewa International,Medium airport,Bauchi,Nigeria,BCU,DNBC,
70,Belmopan,Small airport,Belmopan,Belize,BCV,,
71,Benguera Island,Medium airport,Benguera Island,Mozambique,BCW,,
72,Beloretsk,Small airport,Beloretsk,Russia,BCX,UWUB,
73,BulchiClosed,Closed,Bulchi,Ethiopia,BCY,,
74,Brooklyn TMC - Olivers Garage HelipadClosed,Closed,Brooklyn,Australia,BCZ,,
75,L.F. Wade International International,Medium airport,Hamilton,Bermuda,BDA,TXKF,
76,Bundaberg,Medium airport,Bundaberg,Australia,BDB,YBUD,
77,Barra do Corda,Small airport,Barra Do Corda,Brazil,BDC,SNBC,
78,Badu Island,Small airport,,Australia,BDD,YBAU,
79,Baudette International,Medium airport,Baudette,United States,BDE,KBDE,BDE
80,Rinkenberger Restricted Landing Area,Small airport,Bradford,United States,BDF,3IS8,3IS8
81,Blanding Municipal,Small airport,Blanding,United States,BDG,KBDG,BDG
82,Bandar Lengeh,Medium airport,Bandar Lengeh,Iran,BDH,OIBL,
83,Bird Island,Small airport,Bird Island,Seychelles,BDI,FSSB,
84,Syamsudin Noor,Small airport,Banjarmasin-Borneo Island,Indonesia,BDJ,WAOO,
85,Soko,Small airport,Bondoukou,Côte d'Ivoire,BDK,DIBU,
86,Bradley International,Large airport,Hartford,United States,BDL,KBDL,BDL
87,Bandırma,Medium airport,,Turkey,BDM,LTBG,
88,Talhar,Small airport,Badin,Pakistan,BDN,OPTH,
89,Husein Sastranegara International,Medium airport,Bandung-Java Island,Indonesia,BDO,WICC,
90,Bhadrapur,Small airport,Bhadrapur,Nepal,BDP,VNCG,
91,Vadodara,Medium airport,Vadodara,India,BDQ,VABO,
92,Igor I Sikorsky Memorial,Medium airport,Bridgeport,United States,BDR,KBDR,BDR
93,Brindisi – Salento,Medium airport,Brindisi,Italy,BDS,LIBR,
94,Gbadolite,Medium airport,,Congo (Kinshasa),BDT,FZFD,
95,Bardufoss,Medium airport,Målselv,Norway,BDU,ENDU,
96,Moba,Small airport,Moba,Congo (Kinshasa),BDV,FZRB,
97,Bedford Downs,Small airport,,Australia,BDW,YBDF,
98,Broadus,Small airport,Broadus,United States,BDX,00F,00F
99,Bandon State,Small airport,Bandon,United States,BDY,S05,S05
0,Baindoung,Small airport,,Papua New Guinea,BDZ,AYBG,
1,BereinaClosed,Closed,Bereina Mission,Papua New Guinea,BEA,,
2,Benbecula,Medium airport,Balivanich,United Kingdom,BEB,EGPL,
3,Beech Factory,Small airport,Wichita,United States,BEC,KBEC,BEC
4,Laurence G Hanscom Field,Medium airport,Bedford,United States,BED,KBED,BED
5,Beagle Bay,Small airport,Beagle Bay,Australia,BEE,YBGB,
6,Bluefields,Medium airport,Bluefileds,Nicaragua,BEF,MNBL,
7,Belgrade Nikola Tesla,Large airport,Belgrade,Serbia,BEG,LYBE,
8,Southwest Michigan Regional,Small airport,Benton Harbor,United States,BEH,KBEH,BEH
9,Beica,Small airport,Beica,Ethiopia,BEI,HABE,
10,Barau(Kalimaru),Small airport,Tanjung Redep-Borneo Island,Indonesia,BEJ,WALK,
11,Bareilly Air Force Station,Medium airport,Bareilly,India,BEK,VIBY,
12,Val de Cans/Júlio Cezar Ribeiro International,Large airport,Belém,Brazil,BEL,SBBE,
13,Bossembélé,Small airport,Bossembélé,Central African Republic,BEM,FEFL,
14,Benina International,Medium airport,Benghazi,Libya,BEN,HLLB,
15,Lake Macquarie,Small airport,,Australia,BEO,YLMQ,
16,Bellary,Medium airport,Bellary,India,BEP,VOBI,
17,RAF Honington,Medium airport,Thetford,United Kingdom,BEQ,EGXH,
18,Berlin Brandenburg (U.C.),Medium airport,Berlin,Germany,BER,EDDB,
19,Brest Bretagne,Medium airport,Brest/Guipavas,France,BES,LFRB,
20,Bethel,Medium airport,Bethel,United States,BET,PABE,BET
21,Bedourie,Medium airport,,Australia,BEU,YBIE,
22,Beersheba (Teyman),Small airport,Beersheba,Israel,BEV,LLBS,
23,Beira,Medium airport,Beira,Mozambique,BEW,FQBR,
24,RAF Benson,Medium airport,Benson,United Kingdom,BEX,EGUB,
25,Beirut Rafic Hariri International,Large airport,Beirut,Lebanon,BEY,OLBA,
26,Beru,Small airport,Beru,Kiribati,BEZ,NGBR,
27,Bahía Negra,Small airport,Bahía Negra,Paraguay,BFA,SGBN,
28,Blue Fox BayClosed,Closed,Blue Fox Bay,United States,BFB,,
29,[Duplicate] Bloomfield,Small airport,Bloomfield,Australia,BFC,YBMD,
30,Bradford Regional,Medium airport,Bradford,United States,BFD,KBFD,BFD
31,Bielefeld,Small airport,Bielefeld,Germany,BFE,EDLI,
32,Western Neb. Rgnl/William B. Heilig,Medium airport,Scottsbluff,United States,BFF,KBFF,BFF
33,Bullfrog Basin,Small airport,Glen Canyon Natl Rec Area,United States,BFG,U07,U07
34,Bacacheri,Medium airport,Curitiba,Brazil,BFH,SBBI,
35,Boeing Field King County International,Large airport,Seattle,United States,BFI,KBFI,BFI
36,Buckley Air Force Base,Medium airport,Aurora,United States,BFK,KBKF,BKF
37,Meadows Field,Medium airport,Bakersfield,United States,BFL,KBFL,BFL
38,Mobile Downtown,Medium airport,Mobile,United States,BFM,KBFM,BFM
39,Bram Fischer International,Medium airport,Bloemfontain,South Africa,BFN,FABL,
40,Buffalo Range,Medium airport,Chiredzi,Zimbabwe,BFO,FVCZ,
41,Beaver County,Medium airport,Beaver Falls,United States,BFP,KBVI,BVI
42,Bahia Piña,Small airport,Bahia Piña,Panama,BFQ,,
43,Virgil I Grissom Municipal,Small airport,Bedford,United States,BFR,KBFR,BFR
44,Belfast International,Large airport,Belfast,United Kingdom,BFS,EGAA,
45,Bengbu,Medium airport,Bengbu,China,BFU,ZSBB,
46,Buri Ram,Medium airport,,Thailand,BFV,VTUO,
47,Sidi Bel Abbes,Small airport,Sidi Bel Abbès,Algeria,BFW,DAOS,
48,Bafoussam,Medium airport,Bafoussam,Cameroon,BFX,FKKU,
49,Palonegro,Medium airport,Bucaramanga,Colombia,BGA,SKBG,
50,Booue,Small airport,Booue,Gabon,BGB,FOGB,
51,Bragança,Medium airport,Bragança,Portugal,BGC,LPBG,
52,Hutchinson County,Small airport,Borger,United States,BGD,KBGD,BGD
53,Decatur County Industrial Air Park,Small airport,Bainbridge,United States,BGE,KBGE,BGE
54,Bangui M'Poko International,Medium airport,Bangui,Central African Republic,BGF,FEFF,
55,Bingöl Çeltiksuyu,Small airport,Bingöl,Turkey,BGG,LTCU,
56,Abbaye,Small airport,Boghe,Mauritania,BGH,GQNE,
57,Sir Grantley Adams International,Medium airport,Bridgetown,Barbados,BGI,TBPB,
58,Borgarfjörður eystri,Small airport,Borgarfjörður eystri,Iceland,BGJ,BIBF,
59,Big Creek,Medium airport,Big Creek,Belize,BGK,,
60,Baglung,Small airport,Baglung,Nepal,BGL,VNBL,
61,Greater Binghamton/Edwin A Link field,Medium airport,Binghamton,United States,BGM,KBGM,BGM
62,Brüggen Air BaseClosed,Closed,,Germany,BGN,ETUR,
63,Bergen Flesland,Large airport,Bergen,Norway,BGO,ENBR,
64,BongoClosed,Closed,Bongo,Gabon,BGP,,
65,Bangor International,Large airport,Bangor,United States,BGR,KBGR,BGR
66,Bagdad,Small airport,Bagdad,United States,BGT,E51,E51
67,Bangassou,Small airport,Bangassou,Central African Republic,BGU,FEFG,
68,Aeroclube de Bento Gonçalves,Small airport,Bento Gonçalves,Brazil,BGV,SSBG,
69,Baghdad International,Large airport,Baghdad,Iraq,BGW,ORBI,
70,Comandante Gustavo Kraemer,Medium airport,Bagé,Brazil,BGX,SBBG,
71,Il Caravaggio International,Large airport,Bergamo,Italy,BGY,LIME,
72,Braga Municipal Aerodrome,Medium airport,Braga,Portugal,BGZ,LPBR,
73,Los Perales,Small airport,Bahía de Caraquez,Ecuador,BHA,SESV,
74,Hancock County-Bar Harbor,Medium airport,Bar Harbor,United States,BHB,KBHB,BHB
